id,text_clean,text_clean_en
1.84626774302233e+18," ""Ani kroku wstecz!"" - w przód też żadnego jak dotąd nie stawiacie.",Ładuję...
1.8462647773471176e+18,"Właśnie zadzwonił do mnie nieznany numer. Już myślałem, że to lekarz chce się zapytać o moje samopoczucie.

Okazało się, że to jednak fotowoltaika.","An unknown number just called me. I thought it was the doctor who wanted to ask about my well-being.

It turned out that it was photovoltaics."
1.8462626933945882e+18," Czy ""jeszcze cięższa praca"" przełoży się na realizację chociaż części obietnic wyborczych jakie złożyliście?"," Will ""even harder work"" translate into the fulfillment of at least some of the election promises you made?"
1.8462613413274463e+18,Polecam się zapoznać z treścią konferencji    👇,Ładuję...
1.8461048658290156e+18,"   ❌   Kilka dni temu zagłosowałem za odwołaniem Krzysztofa Czabańskiego ze stanowiska członka Rady Mediów Narodowych.
   👉   Warto przypominać o tym, jak nierówną walkę stoczyliśmy podczas ostatnich wyborów do parlamentu. 
Poza niedopuszczaniem Konfederacji do mediów publicznych ciężko…  ",Ładuję...
1.8460870937657797e+18," 🇵  🇱 Kolejna kadencja #PO i kolejny raz próbują zablokować #MarszNiepodległości. Jeśli oni nie idą z nami, to my pójdziemy pomimo nich! Tylko ducha nie gaście! "," 🇵 🇱 Another term of #PO and once again they are trying to block the #IndependenceMarch. If they do not go with us, we will go in spite of them! Just don't extinguish the spirit! "
1.8459910275527355e+18,"   🙉   Propaganda sukcesu w  udzieliła się tak bardzo, że nawet gdy przegrają lokalne wybory z własnym koalicjantem, to czują się zwycięzcami    🙈    ","   🙉 The propaganda of success has spread so much that even when they lose local elections to their own coalition partner, they feel like winners 🙈    "
1.8456012791013294e+18,W niedzielę 13 października o 15:45 w Parafii pw Bł. Czesława w Opolu przy ul. Hallera 2 odbyło się poświęcenie Kapliczki Gietrzwałdzkiej - jednej ze 150 budowanych w Polsce na 150 rocznicę gietrzwałdzkich objawień.,"On Sunday, October 13, at 3:45 p.m. in the Parish of Blessed Czesław in Opole at ul. Hallera 2, the Gietrzwałd Chapel was consecrated - one of 150 chapels built in Poland for the 150th anniversary of the Gietrzwałd apparitions."
1.8455918982006748e+18,40 lat minęło jak jeden dzień!    💞,Ładuję...
1.8454656311659156e+18,"  Czyli krótko mówiąc, będziecie legalizować pobyt nielegalnych imigrantów?    🙂   ",Ładuję...
1.8454631704601318e+18,"Rabunek, długi i biurokracja...czyli budżet na rok 2025.    🙃   

  ",Ładuję...
1.8454252939445862e+18,Tak dla #UstawaTakDlaCPK .,Yes to #UstawaTakDlaCPK.
1.845390571998782e+18,"Swoją wypowiedzią Gen. Rajmund Andrzejczak złamał wprost art. 1 traktatu NATO, w którym czytamy:
,,Artykuł 1
Strony zobowiązują się, zgodnie z postanowieniami Karty Narodów Zjednoczonych, załatwiać wszelkie spory międzynarodowe, w które mogłyby zostać zaangażowane, za pomocą… ",Ładuję...
