id,text_clean
1.8462772565091167e+18," Niezrealizowanie większości ze ""100 konkretów"", zamiast transparentności ""sklep meblarski"" przy obsadzaniu SSP, zamiast taniego państwa rekordowy deficyt i najliczniejszy rząd w historii, a zamiast praworządności państwo policyjne. Oto obraz Waszych rządów rok po wyborach."
1.846222583898784e+18,Rok po wyborach trzeba powiedzieć jedno - nie na takie państwo Donald Tusk umawiał się z wyborcami! 
1.8461614003280282e+18,"       ❌       Mamy rok po wyborach, a Polska pogrąża się w kryzysie i anarchii. 

Z obiecanych 100 konkretów rząd Donalda Tuska zrealizował tylko około 30. Nie zostały zrealizowane np. takie postulaty jak: podwyżka kwoty wolnej od podatku, wprowadzenie systemy wizyt lekarskich przez SMS i…  "
1.8460918241017695e+18,"Mija rok od wyborów parlamentarnych. W kampanii wyborczej padło wiele obietnic ze strony rządzących. Co z tego dziś mamy? W uśmiechniętej Polsce mamy chaos w wymiarze sprawiedliwości, zator finansowy w służbie zdrowia i rekordowy deficyt. Rządy Donalda Tuska to katastrofa dla…  "
1.846075343188144e+18,#Idę11        🇵              🇱        
1.8458888306808343e+18,"""Demokracja walcząca"" Trzaskowskiego, Tuska ani żadnego innego totalniaka nie powstrzyma największego patriotycznego wydarzenia w Polsce. Jak co roku 11 listopada widzimy się w Warszawie na Marszu Niepodległości!        🇵              🇱        "
1.8458428924907154e+18,Samozaoranie level master.        😎        
1.8457252302720003e+18,"Polska ma wkrótce uruchomić 49 finansowanych przez UE Centrów Integracji Cudzoziemców, które będą wspierać przybyłych do naszego kraju migrantów. Mają oni otrzymać darmowe kursy językowe, pomoc prawną i usługi adaptacyjne. I to by było na tyle jeśli chodzi o zapowiadaną przez…  "
1.84545626816247e+18,"Unia najlepiej wie, czego potrzebuje nasze rolnictwo        🙃        "
1.8453664334436849e+18,Warto posłuchać słów prawdy od byłego więźnia obozu w Auschwitz. 
1.8451688841537948e+18,"Ekologiczny Maciej Gdula z Lewicy mówi ""zwężajmy ulice i jeździjmy rowerami"", ale jednocześnie sam jeździ SUV-em        🤡        "
1.8451049646639027e+18,"Koniec złudzeń, że Suwerenna Polska jest jakąkolwiek prawicową alternatywą dla PiS-u. Dziś Jarosław Kaczyński dokonał aneksji swoich koalicjantów. W ten sposób podział sceny politycznej, o którym mówiliśmy od dawna, staje się już oczywisty. Polakom daje się wybór niedający…  "
1.845069426439213e+18,I tak wygląda szara rzeczywistość podatnika. 
1.8450138170145754e+18,"Pamiętacie ten wpis sprzed roku? Już go nie ma - został usunięty. Tak właśnie Ci ludzie traktują wyborców - jak idiotów, którym można obiecać wszystko w kampanii, a po wyborach udawać, że tych obietnic nie było. "
1.844814952462226e+18, To coś słabo wam idzie. 
1.8447631440626772e+18,"Konfederacja umacnia się na trzecim miejscu, Trzecia Droga pod progiem dla koalicji, a lewica mocno w dół!        💪              🇵              🇱        "
1.8447112765779645e+18, 
1.8447111891435359e+18,"Już dziś o 20:20 będę gościem Adriana Klarenbacha w . 
Zapraszam do oglądania! "
1.8446414212963333e+18,"Oj ciężko było Panu wicepremierowi napisać to słowo na ""i"". "
1.8444554345661688e+18,"  Nie będzie nam Waszyngton narzucał swojej agendy ideologicznej. Panią wysłanniczkę zapraszamy z powrotem do siebie i niech już tam zostanie i promuje dewiację, ale wśród swoich."
1.8444155482112453e+18,"Słuchając wypowiedzi pani wiceminister Joanny Muchy, nasuwa się pytanie: dokąd zmierza nasza polityka migracyjna i edukacyjna?

Zamiast inwestować w poprawę jakości edukacji dla naszych dzieci, rząd przeznacza kolejne środki na zatrudnianie asystentów międzykulturowych i…  "
1.8443947135726024e+18,#ZNaszychPodatków 
1.8443379265804168e+18,"Wywiad ze mną w Kurierze Lubelskim o wyborach prezydenckich w Polsce i USA, wojnie na Ukrainie, kwestii wejścia tego państwa do UE i o ocenie rządu Donalda Tuska. 
Link:  "
1.844253166281589e+18,I to jest trafne pytanie        😉        
1.84408955039164e+18,Obietnice Szymona Hołowni vs. rzeczywistość 
1.844031837339083e+18,Typowe dla polityków władzy        😉        
1.843984045073429e+18,"Inwestycje samorządowe są kluczowe dla mieszkańców, bo odpowiadają na lokalne potrzeby. Niestety centralizacja i upolitycznienie tych inwestycji tworzą bariery, które często uniemożliwiają ich realizację. Dziś w Sejmie musieliśmy łatać luki prawne, żeby niektóre gminy w ogóle…  "
1.84396880409283e+18,"Siedemnaście krajów (14 państw członkowskich, a także Norwegia, Szwajcaria i Liechtenstein) wezwało Komisję Europejską do zaostrzenia unijnych przepisów dotyczących odsyłania nielegalnych migrantów do ich krajów pochodzenia. Zgadnijcie, czy była wśród nich Polska? "
1.8438927832594598e+18,"Chcesz działać na rzecz wolności, silnej, dumnej i bogatej Polski?        💪        Dołącz do #PejoTeam w Powiecie Kraśnickim i buduj razem z nami przyszłość!        🇵              🇱       

Wspólnie ze Sławomirem Mentzenem i Ewą Zajączkowską-Hernik walczymy o silną Polskę opartą na wartościach wolnościowych i…  "
1.8437400483506916e+18,"O trendach i wyzwaniach rynku Data Center rozmawialiśmy na II edycji ""Forum Data Center.  Szczególnie podkreślałem rolę AI i Cyberbezpieczeństwa w kontekście centrów danych w Polsce.        🇵              🇱       
Dzięki za merytoryczną dyskusję. "
1.8436915626116959e+18,"Rząd Donalda Tuska bardzo troszczy się o rodaków. Głównie tych, którzy bezskutecznie kandydowali z list partii koalicji rządowej w wyborach        🙃        "
1.8435719730012326e+18,"Okazuje się, że Polska 2050 to sklep meblarski! Dowód?

Krzysztof Pałka, Michał Gniatowski, Andrzej Sadkowski, Miłosława Zagłoba, Robert Gajda, Ewa Patalas, Emilia Wasielewska, Emil Rojek - to wszystko politycy Polski 2050 zasiadający w spółkach Skarbu Państwa! "
1.8433280418349798e+18,"Złym przykładem ze strony koalicji rządzącej jest nieuwzględnienie poprawek opozycji, zarówno Konfederacji, jak i PiS. Proponowaliśmy takie rozwiązania, aby na przykład zwolnić powodzian ze składek ZUS-owskich, a nie tylko odroczyć płatność tych składek, bo to nic nie zmieni.…  "
1.8432991547031224e+18,"Taki jest właśnie stosunek państwa do polskiego biznesu, który (jak przyznał niedawno właściciel InPostu Rafał Brzoska) odprowadza większe podatki niż cała zagraniczna konkurencja razem wzięta. Czy jak już rząd Donalda Tuska zniszczy InPost to na jego miejsce wejdzie niemiecki…  "
1.8432189052606016e+18,"Rejestr mieszkań wynajmowanych krótkoterminowo, wysokie opodatkowanie? To jeszcze Polska 2050, czy już partia Razem? Udajecie liberałów, a prawda jest taka, że w swojej potrzebie ustawiania życia obywatelom chcecie prześcignąć PiS. Sama Pani Minister zarabia na najmie, proszę…  "
1.843182024766722e+18,Krzysztof Śmiszek z Lewicy głosował w Europarlamencie przeciwko poprawce umożliwiającej ekshumację i godny pochówek ofiar Rzezi Wołyńskiej. Dlaczego? Bo poprawkę tę złożyli europosłowie Konfederacji.        🤡        
1.8430036928005164e+18,Europejska gospodarka staje się niekonkurencyjna względem amerykańskiej czy chińskiej. Recepta? Wincyj dekarbonizacji! xD 
1.842899929150247e+18,"Presja ma sens!

Toyota wycofuje się ze sponsorowania wydarzeń LGBTQ+ i planuje skupić się wyłącznie na samochodach!

Decyzja ta nastąpiła po tym, jak popularny w Stanach Zjednoczonych aktywista anty-DEI Robby Starbuck zaatakował japońskiego giganta motoryzacyjnego za…  "
1.8428571909876165e+18,"To skandal, że nadzorowany przez MSZ Instytut Polski w Kijowie organizuje w wielu ukraińskich miastach bezpłatne pokazy filmu „Zielona Granica”, który szkaluje polskich żołnierzy i funkcjonariuszy broniących naszej granicy oraz powiela rosyjską propagandę. Dyrektor instytutu…  "
1.8426469040284672e+18,Tak właśnie wygląda hipokryzja. 
1.84263090022561e+18,W młodych siła! Świetna inicjatywa. Gratuluję i trzymam kciuki za powodzenie projektu        💪              🇵              🇱        
1.8426002428159142e+18,"Donald Tusk to mistrz w znajdowaniu tematów zastępczych i robieniu z nich głównego problemu państwa, podczas gdy naprawdę istotne sprawy leżą odłogiem. CPK, reforma podatkowa, budowa elektrowni atomowej, walka z inflacją czy kryzysem mieszkaniowym? A komu to potrzebne, głównym…  "
1.84250485907907e+18,"Niestety, tęczowa indoktrynacja w animowanych bajkach dotarła także do Polski. Uważajcie na to, co oglądają Wasze dzieci! "
1.8424792813869755e+18,Zapraszam do Radia Lublin! 
1.8422895073594414e+18,"  Nazywanie ludobójcy ""wielkim mężem stanu walczącym o wolność Zachodu""? Serio? Coś obrzydliwego."
1.8422746244885914e+18,"Chcesz działać na rzecz wolności, silnej, dumnej i bogatej Polski?        💪        Dołącz do #PejoTeam w Powiecie Lubelskim i buduj razem z nami przyszłość!        🇵              🇱       

Wspólnie ze Sławomirem Mentzenem i Ewą Zajączkowską-Hernik walczymy o silną Polskę opartą na wartościach wolnościowych i…  "
1.8422245720089068e+18,"Był minister płacący służbową kartą na wakacjach, a teraz małżeństwo posłów PO biorące dwie dopłaty na jedno mieszkanie. Za zmianą władzy nie poszła w żadnej mierze zmiana jakości w rządzeniu ani większy szacunek do pieniędzy podatników. "
1.842098497476084e+18,"Mina przedstawiciela ""uśmiechniętej koalicji"", gdy pokażesz jego hipokryzję czarno na białym - bezcenna!        😉        "
1.841921312006308e+18,"Trasa #Mentzen2025 trwa! Na dzisiejszych spotkaniach w Puławach i Łukowie frekwencja była znakomita. Podobnie jak na poprzednich spotkaniach z moim udziałem widać ogromną energię i nadzieję na zmiany w naszym kraju. Już w przyszłym roku wizja dumnej, bogatej i bezpiecznej Polski…  "
1.8418774356645115e+18,Trasa #Mentzen2025 trwa! Na dzisiejszym spotkaniu w Puławach frekwencja była znakomita. A już za chwilę zaczynamy spotkanie w Łukowie. Do zobaczenia! 
1.841847057486586e+18,Znajdowanie tematów zastępczych to specjalność Donalda Tuska. Sprawy kluczowe dla rozwoju Polski muszą poczekać. 
1.8417978646047703e+18,"Podatek od spadków jest niemoralny! Jak można kłaść ręce na naszych pieniądzach nawet wtedy, gdy już umrzemy? Dlatego dziś nasz kandydat na Prezydenta  zaprezentował swój projekt ustawy, który likwiduje ten podatek. Projekt został złożony przez klub … "
1.8417494518886446e+18,"A miało być wszystko odpolitycznione, bez kolesiostwa i tłustych kotów przy stołkach        😉        "
1.8415501081748278e+18, Walka z tubkami i nieudolna próba wyrzucenia z komisji własnej posłanki. Tylko na tyle was stać.
1.8415411898723208e+18,"Już jutro ponownie ruszamy w trasę #Mentzen2025!

O godz. 16:00 widzimy się w Puławach na Placu Fryderyka Chopina wraz ze Sławomirem Mentzenem, Konradem Berkowiczem i Grzegorzem Płaczkiem.

Z kolei o 18:30 w tym samym składzie widzimy się w Łukowie na Placu Solidarności i…  "
1.8415002364238236e+18,"I tak właśnie wygląda nasze państwo. Silne w sprawach błahych, bezradne w sprawach najwyższej wagi. "
1.8414549002254912e+18,   Temat zastępczy …
1.841448186633716e+18,"Rozwój gospodarki, budowa nowoczesnej infrastruktury, modernizacja armii? Nic z tych rzeczy, zdaniem rządu najpoważniejszym dziś problemem są alko-tubki. To także jasny sygnał, że w naszym państwie z dnia na dzień każdy biznes może stać się celem politycznego ataku, a praktyki…  "
1.841395569270387e+18,Wymowne zdjęcie: nowa vs. stara lewica. 
1.8411846800640084e+18,"Dzięki zerwaniu kworum przez posłów  udało się uniemożliwić Lewicy, PO i Trzeciej Drodze usunięcie posłanki Matysiak z komisji infrastruktury!        🙂       "
1.841074147985658e+18,Wystarczy dać im mówić. Nic tak skutecznie nie zniechęca do działań ekoterrorystów z Ostatniego Pokolenia jak oni sami. 
1.840995298757296e+18,"Chcesz działać na rzecz wolności, silnej, dumnej i bogatej Polski?        💪        Dołącz do #PejoTeam w powiecie świdnickim i buduj razem z nami przyszłość!        🇵              🇱       

Wspólnie ze Sławomirem Mentzenem i Ewą Zajączkowską-Hernik walczymy o silną Polskę opartą na wartościach wolnościowych i…  "
1.840821271619388e+18,"Jeśli tacy ludzie tworzą rząd i mają nas chronić np. przed powodzią, to naprawdę trudno o optymizm względem losów naszego kraju. "
1.8407566332673068e+18,"Praworządność w wydaniu ekipy Tuska: jak przegracie w sądzie, zawsze możecie powiedzieć, że nie uznajecie tych sędziów, bo to są neosędziowie. Potwierdzone przez ministra obecnego rządu! "
1.8406589199426929e+18,"Hipokryzja nowego rządu w pełni! Jak ujawnia Onet, w należącym do państwa Totalizatorze Sportowym zatrudniono nowych dyrektorów regionalnych, a wśród nich… politycy PO, PSL i Lewicy i boiskowy kolega premiera Donalda Tuska. Wymienili tłuste koty Kaczyńskiego na uśmiechnięte koty…  "
1.840632527528039e+18,"""Czysta woda""        🙃        "
1.840476253901529e+18,"W najbliższą sobotę walka o złoto        💪              🇵              🇱       
Orlen Oil Motor Lublin wygrywa dzisiaj we Wrocławiu. Mamy to        👏              👏              👏              🏍       ️       🏍       ️       🏍       ️ "
1.840443287901012e+18,"Gdyby Maciej Gdula znał się na inwestowaniu w działalność badawczo- rozwojową tak, jak na inwestowaniu w nieruchomości, o przyszłość polskiej nauki moglibyśmy być spokojni. Niestety jest inaczej. "
1.8404112694356257e+18,"Donald Tusk to hipokryta, dla którego punkt widzenia zależy od punktu siedzenia? Nic nowego, wiadomo o tym od dawna. "
1.8403685443466816e+18,Donald Trump w mocnych słowach o sytuacji Ukrainy i postawie prezydenta Zełenskiego! 
1.8403486050869207e+18,"  Czyli najważniejsze bobry, a ludźmi, którzy potrącili majątki, kto by się tam przejmował. Można wracać do weekendowania. I wy jesteście poważną partią?"
1.840345465721598e+18,"Już jutro o 20:15 będę gościem w programie ""Bez Retuszu"" w . Zachęcam do oglądania! "
1.8403041135751946e+18,"Ale i tak będą Ci wmawiać, że płacąc coraz więcej za prąd, ogrzewanie czy transport, ratujesz planetę przed katastrofą klimatyczną        🤡        "
1.8401486809235912e+18,"To był intensywny dzień pełen wrażeń na trasie #Mentzen2025! Zaczęliśmy od spotkania w Chełmie, następnie odwiedziliśmy Lubartów, a na koniec tłumy sympatyków Konfederacji przywitały nas w Świdniku. Dziękuję wszystkim za obecność i znakomitą atmosferę na każdym ze spotkań.…  "
1.8400675851711693e+18,Za nami kolejne świetne spotkanie w Lubartowie w ramach trasy #Mentzen2025! A już o 19:00 w Świdniku zaczynamy ostatnie dzisiaj wydarzenie! 
1.8400390050956083e+18," To nawet miłe, że interesuje się Pani naszymi spotkaniami, zachęcam jednak do uczciwej relacji. Zdjęcie ze spotkania w Zamościu, g. 18.40 "
